600 432 294
51 72 50 3
43 185 50 0
218 239 50 1
129 135 25 1
251 30 50 5
240 50 50 2
17 94 17 0
70 162 23 2
280 91 37 3
211 47 22 4
327 82 6 2
287 289 50 1
7 26 5 0
116 268 50 3
264 111 50 4
281 143 15 0
135 13 22 1
284 58 50 1
257 128 50 4
19 274 50 2
120 82 50 2
29 121 50 5
281 97 37 4
383 47 7 1
259 67 24 5
211 60 50 1
24 37 50 2
428 197 50 1
330 173 50 0
177 116 6 5
113 187 21 1
271 266 50 2
380 224 50 1
196 68 50 5
407 242 50 3
266 20 22 1
385 158 41 0
203 27 4 5
237 37 45 0
363 235 50 1
23 262 11 1
240 3 3 5
394 125 14 2
22 16 32 0
355 84 50 3
309 3 38 4
352 257 50 5
114 170 39 5
325 203 50 0
146 115 28 3
76 8 20 2
105 271 50 1
346 227 50 0
367 166 36 4
406 71 37 5
264 156 50 2
38 185 50 4
370 72 2 1
305 64 50 3
218 249 50 5
261 123 50 3
19 37 27 3
21 238 50 2
247 91 50 5
153 198 19 1
160 244 50 1
338 283 50 5
265 275 50 1
24 189 50 0
222 224 50 5
222 20 22 1
216 133 28 4
226 266 50 5
111 82 50 3
3 257 50 3
12 86 50 5
66 280 50 4
395 104 5 4
163 132 26 5
48 187 50 3
87 271 50 4
308 247 50 3
22 270 50 1
261 253 50 2
38 212 50 0
303 68 50 4
290 1 30 4
9 69 50 5
396 253 50 3
264 93 44 0
345 290 50 2
275 75 50 3
234 44 13 5
35 272 50 3
387 100 30 2
261 146 50 0
136 5 2 2
226 77 50 5
185 167 50 1
414 231 50 4
203 151 5 4
221 28 32 4
401 101 22 4
130 160 5 3
196 7 26 1
58 93 50 1
382 171 42 3
379 24 37 2
137 234 50 0
226 131 6 2
252 235 50 3
390 15 5 3
322 71 50 1
24 37 50 3
85 275 50 4
195 231 50 1
417 88 7 0
314 128 10 2
73 180 50 1
105 192 50 2
158 164 50 1
376 227 50 1
77 16 50 4
206 32 50 2
119 291 50 4
276 43 50 2
8 235 50 3
37 83 50 2
314 282 50 2
89 124 11 4
274 122 15 0
71 110 50 0
227 234 50 0
153 154 30 5
270 254 50 5
7 123 3 4
190 164 50 3
333 193 50 5
246 206 50 0
1 100 7 2
52 25 50 1
148 267 21 1
145 144 14 2
159 134 6 2
105 109 50 5
41 48 50 3
394 123 33 0
364 124 50 5
399 151 33 4
318 170 50 2
262 249 50 1
228 20 22 3
145 107 5 4
188 48 29 4
307 182 50 2
161 195 26 5
290 52 50 2
263 74 50 0
4 90 34 3
293 127 22 0
307 121 15 5
267 21 17 3
289 194 50 4
74 120 50 0
145 284 50 1
251 61 50 3
249 115 50 3
371 74 3 1
418 206 50 1
250 132 50 0
233 270 50 0
296 283 50 2
244 141 18 2
69 172 2 0
128 179 50 3
257 170 45 2
417 84 37 1
115 269 50 0
420 161 22 4
357 9 23 2
287 167 50 3
191 260 50 2
430 83 34 3
23 124 10 0
286 259 50 1
233 100 50 4
323 127 39 0
170 9 5 0
220 100 40 2
209 260 50 0
268 282 50 3
31 121 50 2
150 247 50 4
1 36 7 0
14 235 45 1
217 230 50 1
304 264 50 5
256 235 50 4
67 182 50 2
396 147 1 2
369 14 6 2
323 17 25 3
377 259 50 5
222 251 50 1
209 124 39 0
11 140 15 0
25 43 50 1
13 243 40 5
16 159 8 4
368 85 32 2
171 56 6 4
371 128 50 5
102 227 50 2
366 134 50 3
63 225 50 3
428 117 7 2
64 291 50 1
47 131 50 4
267 152 50 1
48 67 50 1
24 94 50 1
2 48 34 3
101 218 50 4
262 258 50 5
263 24 50 3
396 215 50 1
62 293 50 0
306 80 2 0
425 194 50 5
57 51 2 1
72 222 50 4
396 258 50 0
230 110 50 4
187 21 34 0
164 99 26 3
78 34 50 1
73 52 14 1
424 260 50 2
377 121 4 4
53 105 2 5
411 161 2 3
124 234 23 0
377 164 41 0
149 284 50 0
12 111 10 5
404 209 50 2
40 175 13 4
354 65 19 3
178 126 10 3
431 170 42 0
164 82 50 1
46 223 50 0
107 115 50 5
260 186 50 2
283 169 50 3
316 196 50 1
360 248 50 2
28 253 8 0
123 167 49 3
205 42 17 1
27 136 4 5
287 85 50 4
367 253 50 1
232 279 50 4
176 187 4 5
66 144 30 1
179 219 50 2
350 248 50 1
356 89 50 4
232 275 50 1
196 95 9 2
317 87 19 4
395 57 32 2
138 178 50 2
0 23 12 0
45 174 27 0
379 22 22 0
225 85 50 2
269 128 50 1
361 191 50 1
321 208 50 5
420 189 50 0
101 244 50 2
399 117 1 3
138 197 50 4
28 226 50 4
358 130 3 0
235 233 50 1
6 8 16 0
68 219 50 4
280 238 50 4
71 131 28 2
84 45 50 1
153 161 26 5
49 292 50 5
225 199 50 5
41 231 50 1
290 248 50 1
383 179 50 5
379 107 1 5
422 213 50 4
303 156 13 3
283 220 50 5
124 2 30 3
306 131 2 0
282 243 50 2
357 267 50 3
65 22 50 5
145 166 40 0
195 32 50 0
48 12 5 0
242 62 50 3
93 127 42 0
310 115 3 0
265 106 50 4
225 265 50 2
17 282 50 5
212 20 25 2
16 97 50 0
23 89 14 5
272 108 26 4
58 232 50 5
30 28 50 1
48 108 50 1
50 117 50 1
78 151 3 3
200 111 6 4
181 78 50 4
268 47 50 4
214 46 10 5
25 256 23 0
148 54 34 3
251 143 50 0
348 199 50 2
81 64 50 2
274 284 50 4
32 30 50 5
295 266 50 3
356 209 50 2
313 291 50 3
96 256 50 2
145 95 14 1
0 170 4 5
401 159 6 1
10 167 6 4
269 87 50 4
88 277 50 1
419 193 50 5
206 131 2 3
104 255 50 2
49 66 50 0
319 65 50 4
363 0 26 3
279 76 50 1
54 153 4 1
47 126 7 4
93 94 50 5
63 51 19 4
31 3 8 3
229 140 28 2
134 109 25 3
308 245 50 5
79 158 19 2
159 9 14 3
425 181 50 5
308 93 14 1
293 132 33 3
42 159 17 1
124 263 15 2
323 274 50 3
53 175 10 4
98 132 50 1
390 56 14 0
116 135 25 5
22 160 16 4
76 206 50 2
167 85 50 0
168 154 5 2
415 172 50 3
278 156 22 0
221 136 22 3
244 88 50 1
423 219 50 5
196 118 6 3
319 27 50 2
430 25 22 1
235 292 50 3
220 112 10 3
156 20 23 2
93 20 50 0
214 5 14 1
34 68 41 2
289 282 50 1
397 136 16 3
262 181 50 2
258 283 50 1
10 41 14 0
430 195 50 3
324 34 50 4
417 106 10 3
235 0 25 2
141 204 50 0
211 82 50 5
293 113 34 3
329 57 50 1
134 2 3 2
131 254 1 2
293 284 50 5
147 50 7 5
222 83 50 0
363 291 50 4
265 232 50 1
216 243 50 5
249 257 50 4
188 61 32 2
140 24 30 5
224 11 32 5
312 195 50 0
420 67 6 5
130 231 50 0
427 146 21 5
209 171 50 5
309 247 50 2
282 86 50 5
63 213 43 3
142 126 2 4
46 2 4 1
183 238 50 3
273 115 3 5
258 223 50 1
216 120 10 3
136 90 23 5
298 95 7 1
93 271 44 3
376 111 23 0
283 3 6 1
106 52 50 0
142 0 6 4
333 41 50 4
417 227 50 5
414 244 50 1
431 80 14 5
288 167 50 0
176 158 50 1
162 226 50 5
416 106 30 4
193 273 44 4
179 125 31 5
183 117 26 5
192 291 50 5
90 128 9 5
405 224 50 3
144 52 37 5
77 235 50 5
306 94 7 5
418 135 12 2
91 134 50 0
377 206 50 5
216 151 50 5
379 231 50 2
414 147 24 5
70 48 45 4
13 123 5 1
273 47 50 5
306 166 49 3
295 121 6 2
379 97 19 4
121 23 10 1
321 163 41 1
305 176 50 3
116 196 50 0
146 167 35 1
204 0 34 5
30 71 10 5
139 212 50 5
209 99 26 2
364 254 50 5
74 243 50 1
356 118 44 1
148 219 50 5
383 256 50 1
404 79 30 2
309 179 50 5
38 31 50 0
187 188 50 0
145 115 30 5
230 260 50 1
249 287 50 3
300 173 50 4
80 88 50 0
111 197 50 3
24 69 50 2
185 268 50 5
114 264 50 1
223 292 50 1
189 190 50 5
61 246 50 2
427 80 38 0
416 174 36 4
401 47 32 1
169 88 50 3
232 106 50 0
168 161 50 4
106 257 50 4
406 152 8 2
182 85 50 0
87 43 50 2
269 126 50 4
51 4 25 0
199 278 50 3
302 160 30 5
286 15 3 4
409 194 50 5
37 109 50 5
389 164 50 1
339 70 50 5
27 196 50 2
323 200 50 5
393 169 50 1
46 252 50 1
232 236 50 5
334 270 50 4
162 242 50 0
94 139 27 0
81 36 50 0
226 23 2 3
8 26 33 0
242 118 50 2
241 44 50 2
153 177 50 0
10 284 50 0
246 11 34 3
20 130 15 3
334 26 39 1
46 108 50 0
383 208 50 4
30 72 11 2
229 278 50 4
334 136 3 4
39 264 50 4
2 117 23 3
155 62 32 0
158 148 30 0
159 272 31 5
252 278 50 5
239 145 50 0
130 156 18 0
183 138 3 1
288 231 50 4
157 263 32 0
191 104 22 4
224 267 50 1
263 168 50 1
249 53 50 2
253 188 50 5
324 86 10 3
174 0 35 1
138 72 50 3
190 165 50 5
247 227 50 3
396 206 50 2
415 141 18 4
418 90 14 2
279 145 13 4
249 4 26 1
414 39 28 5
222 156 50 1
276 272 50 2
26 14 7 1
242 43 50 4
84 180 3 3
258 280 50 0
428 172 11 1
300 33 50 5
63 118 50 0
84 279 50 2
407 185 50 3
57 175 6 4
82 60 50 0
147 123 22 0
300 235 50 2
397 73 15 5
79 34 50 1
306 144 32 2
280 271 50 3
52 89 50 2
68 256 50 1
412 146 20 4
207 41 50 2
390 140 14 2
232 56 50 4
229 35 50 5
33 11 16 3
420 141 12 2
362 101 50 0
424 141 12 0
1 270 50 0
229 173 50 2
31 154 16 4
237 111 50 0
