600 1280 960
1255 799 1 2
776 210 1 0
1079 73 1 2
444 145 1 5
790 772 1 2
514 479 13 1
778 10 1 5
290 511 1 3
187 583 1 3
897 767 1 3
1076 742 1 5
1265 417 1 3
243 745 1 2
674 724 1 0
468 94 1 0
396 144 1 4
16 356 1 1
461 460 1 5
1277 88 1 5
1263 932 1 4
1197 456 1 3
10 300 1 1
262 713 1 0
46 526 1 3
990 660 1 5
71 800 1 2
486 214 1 4
325 377 1 0
262 243 1 0
1178 539 1 1
899 300 1 0
962 557 1 3
706 129 1 2
268 371 1 0
386 483 1 2
814 451 1 1
986 712 1 0
1191 735 1 3
316 198 1 3
942 536 1 4
1257 163 1 3
308 789 1 1
706 88 1 2
45 703 1 1
376 237 1 3
1184 844 1 5
747 754 1 1
452 265 1 5
345 89 1 2
77 783 1 3
1168 847 1 4
344 469 1 5
828 830 1 2
779 225 1 4
520 174 13 0
311 581 1 1
655 115 1 2
432 377 1 1
365 941 1 5
385 882 1 3
188 836 1 1
890 875 1 4
872 794 1 1
239 397 1 1
1062 568 1 5
339 573 1 4
1031 401 1 4
872 808 1 0
186 248 1 2
482 560 1 5
305 357 1 5
20 471 1 4
344 667 1 0
799 736 1 0
642 273 13 0
703 665 13 5
247 385 1 4
1111 871 1 3
962 548 1 5
1136 258 1 5
131 290 1 2
1238 390 1 0
862 863 1 4
947 397 1 3
585 29 1 5
15 11 1 1
642 142 1 5
853 825 1 0
501 812 13 1
973 124 1 2
974 334 1 1
742 344 1 1
586 312 13 5
203 839 1 3
733 553 1 5
1115 957 1 5
90 233 1 5
731 420 1 3
498 134 1 4
624 935 1 3
241 723 1 2
181 620 1 3
872 135 1 2
334 298 1 5
474 333 1 3
306 738 1 2
1164 282 1 5
254 603 1 4
1252 93 1 2
222 517 1 3
1094 584 1 0
775 621 1 2
874 764 1 5
156 486 1 4
935 625 1 2
890 402 1 0
999 15 1 0
1159 164 1 0
467 347 1 2
441 638 1 0
938 122 1 4
64 660 1 5
649 662 13 1
466 867 1 1
948 387 1 3
413 224 1 3
105 300 1 4
127 33 1 1
511 805 13 4
467 72 1 4
889 832 1 4
920 701 1 1
178 47 1 4
49 16 1 2
165 97 1 3
656 170 13 3
686 881 1 0
118 955 1 0
174 526 1 3
668 714 1 4
1105 534 1 1
92 626 1 4
25 37 1 3
21 449 1 2
816 716 1 3
763 866 1 2
1109 751 1 3
556 679 13 3
879 663 1 4
152 841 1 4
999 451 1 5
601 910 1 4
1270 669 1 1
323 322 1 5
352 38 1 1
705 304 13 2
415 11 1 4
449 88 1 2
135 209 1 1
862 695 1 4
1059 912 1 4
669 285 13 0
1181 779 1 0
608 188 13 0
610 66 1 3
38 356 1 4
307 256 1 2
376 9 1 4
809 810 1 4
454 452 1 2
211 761 1 2
256 871 1 1
755 729 1 5
658 906 1 0
581 497 13 4
622 674 1 2
229 287 1 4
25 723 1 2
917 857 1 0
340 357 1 3
1041 856 1 4
226 234 1 1
