10000 500 500
181 313 37 0
184 318 37 3
322 295 2 1
10 15 1 5
238 448 37 0
371 284 2 0
499 363 1 4
447 167 1 0
220 430 37 3
296 321 37 3
373 382 2 4
389 12 1 5
24 392 1 0
322 106 37 0
453 238 1 5
440 357 1 2
436 457 1 4
366 295 2 2
276 164 2 3
242 347 37 0
95 7 1 4
77 416 1247 5
70 82 2 0
459 261 1 0
17 274 1 0
382 278 2 1
136 159 1 3
167 1 1 2
197 373 2 0
444 216 1 0
123 463 1247 2
279 359 2 2
200 344 37 3
146 316 37 0
192 221 37 4
72 204 2 3
78 82 5 4
358 326 37 4
435 472 1 3
154 498 1 1
306 238 37 1
415 397 1345 1
344 83 37 2
23 479 1 4
245 262 2 5
396 68 2 4
165 299 560 1
369 173 2 5
442 232 1 4
183 390 2 0
331 95 37 2
55 15 1 5
22 469 1 1
369 164 2 0
343 458 1237 3
210 336 37 3
79 175 549 0
421 185 2 2
278 321 37 5
323 329 37 1
203 452 2 1
367 353 1323 5
445 473 1 2
473 430 1 0
397 78 36 0
203 62 39 3
297 174 2 5
374 72 2 1
332 249 2 2
141 293 2 0
221 416 37 1
248 183 2 1
466 241 1 0
109 309 37 3
406 42 2 0
246 39 2 3
115 154 37 1
294 397 2 1
465 265 1 5
408 35 2 3
448 361 1 2
178 149 37 2
246 185 3 3
334 421 2 3
477 255 1 3
345 496 1 0
8 417 1 5
319 466 1006 2
69 237 2 0
176 141 64 1
160 414 2 0
208 361 2 4
48 484 1 1
33 328 1 4
81 351 1317 0
295 312 37 4
330 42 2 3
482 67 1 5
159 469 548 1
413 54 2 0
491 308 1 5
388 468 1226 2
380 138 2 3
357 402 1020 0
227 41 37 2
440 263 1 0
102 49 37 4
78 116 5 5
74 279 1106 2
71 85 2 0
439 50 1 4
199 431 37 2
157 29 2 0
207 321 37 0
212 76 1 1
68 283 1064 3
309 438 2 2
399 71 2 5
42 22 1 2
419 60 2 3
498 273 1 5
130 203 37 4
22 99 1 2
475 442 1 0
349 245 2 1
116 337 31 2
358 53 2 3
408 475 1226 2
358 389 2 5
305 419 37 5
343 331 37 4
163 281 2 4
297 339 37 2
475 435 1 1
276 454 2 5
432 160 2 1
354 410 1358 2
334 356 2 0
266 142 2 4
354 134 2 5
101 244 530 5
192 203 37 0
257 451 37 4
455 0 1 1
101 60 37 0
247 289 2 3
27 337 1 1
270 100 37 5
91 363 1255 0
460 290 1 3
82 316 809 4
182 438 2 4
293 263 2 2
244 377 2 0
439 141 1 0
363 158 2 4
273 317 37 2
145 163 1 1
15 151 1 0
212 176 2 0
492 297 1 4
156 372 2 3
306 37 2 5
12 389 1 3
29 319 1 0
398 87 37 3
254 43 2 3
267 159 2 5
253 237 37 5
165 146 1 1
371 281 2 5
304 341 37 5
188 308 37 4
373 177 2 3
124 457 1247 2
81 229 985 5
22 92 1 0
138 260 2 5
185 246 2 2
449 248 1 3
380 12 1 4
138 470 1247 5
82 147 32 1
308 344 37 3
383 148 2 3
432 124 2 3
383 13 1 1
132 394 1120 0
430 169 2 0
370 267 2 5
474 290 1 0
247 90 3 2
183 3 1 5
80 193 35 4
394 98 37 4
271 366 2 3
249 397 2 3
474 305 1 1
224 333 37 2
321 10 1 0
392 16 1 1
444 390 1 4
341 401 2 0
321 169 2 0
243 433 37 3
400 37 2 4
355 113 37 5
263 166 2 3
416 43 2 3
