600 481 321
157 46 7439 0
119 318 6 5
47 299 5467 5
272 298 11709 1
428 204 36901 4
428 110 615 0
337 106 12359 2
464 140 2539 0
197 126 14644 0
450 249 37473 1
110 149 27143 4
472 142 3005 2
431 103 4475 2
119 127 22705 1
270 233 14955 2
234 270 9354 0
387 14 2826 4
99 33 5484 0
141 107 19330 4
353 237 14414 3
152 155 20742 4
447 28 2844 4
33 242 1351 4
267 273 10807 4
34 233 15256 3
49 169 14171 5
418 186 34178 4
32 114 2709 0
254 76 9511 2
22 142 2292 0
55 168 20713 0
223 225 39416 5
78 82 14631 4
113 126 22537 3
404 162 21464 2
151 236 9926 1
151 247 12852 5
104 2 41 0
51 3 7 1
105 228 12053 1
352 303 1910 5
259 161 18937 3
91 219 21492 3
319 34 3421 2
440 249 6035 4
98 201 36363 2
231 17 3261 3
153 234 12314 5
51 292 3482 2
91 198 14943 4
173 246 43 0
293 224 23216 3
453 131 637 4
258 208 13882 4
239 187 31522 0
14 18 5 5
475 91 3619 5
189 259 42 5
479 101 4066 1
286 6 1473 0
47 146 13641 4
93 177 31140 3
225 248 12174 2
356 292 38 1
392 39 790 4
310 133 23942 0
240 101 18431 0
295 25 4442 5
416 56 1132 3
22 21 4 2
33 34 4993 3
374 26 4339 1
463 97 17814 5
272 145 26290 1
43 140 25177 1
400 122 22000 5
238 245 19564 3
14 21 5 0
337 228 15494 4
244 16 1833 3
148 165 30159 2
50 193 35115 1
165 60 10004 0
255 249 35435 1
423 123 22184 0
34 18 5 0
380 81 14562 4
1 19 4 3
340 180 33121 1
168 285 3006 3
66 100 13688 4
461 308 1849 0
149 45 7277 5
376 192 22311 1
266 141 25475 4
134 239 10751 2
140 178 32650 5
476 259 15444 2
112 81 12343 3
241 180 9022 4
393 147 9629 3
412 270 42363 4
106 286 7192 1
71 200 13429 2
98 63 9665 3
286 20 3711 0
39 237 1390 1
209 134 23163 0
352 51 1236 4
126 54 8855 0
368 81 14557 5
32 249 34190 4
261 41 1794 4
139 26 4525 0
418 29 3781 1
179 158 10753 2
222 83 14912 4
203 123 15525 5
416 62 2029 1
406 11 1535 0
414 200 15641 2
237 76 5479 4
431 3 826 5
478 139 7210 0
200 168 12195 0
0 104 4966 4
405 97 1400 4
73 74 8671 0
137 141 25421 1
258 8 471 2
367 92 16797 2
91 254 506 0
145 225 22377 0
428 106 19134 4
230 256 9805 4
203 240 4726 1
150 235 18252 2
70 125 22372 4
238 121 21810 3
263 136 24502 1
417 318 6 2
254 183 14850 3
295 271 11969 0
401 214 13069 4
144 263 1572 1
107 145 19819 2
198 42 6851 0
163 262 175 5
308 88 15163 2
203 273 39 2
212 242 40968 3
319 109 9019 4
253 268 19337 0
176 188 12590 2
134 24 4258 0
386 36 6028 0
99 84 15071 5
458 283 39943 1
11 129 1178 4
126 131 23465 0
266 208 13658 4
426 213 20129 4
183 151 19730 4
211 286 37 5
142 302 40 1
249 102 18602 1
220 60 10053 2
184 277 6 4
237 219 12621 4
477 73 1214 1
159 164 29982 2
46 190 10392 1
135 192 10981 5
1 233 15246 4
176 105 19042 0
3 277 6162 3
42 29 13 2
463 29 3421 0
35 247 365 4
9 209 4333 3
214 87 11186 3
341 54 1103 4
422 10 1884 4
72 214 11380 4
53 88 15892 3
200 72 12030 1
36 134 23998 0
96 277 1032 3
322 206 37146 0
26 243 1185 3
171 309 6 5
461 65 3186 1
475 119 21536 1
301 126 16691 4
88 67 11345 4
131 93 16875 1
110 5 40 0
148 254 48 1
236 83 14920 1
357 171 17482 3
105 144 25974 1
395 85 12910 5
93 24 4236 2
430 280 5 2
475 268 4062 0
423 83 13608 3
294 52 8225 0
218 19 1236 0
342 26 4587 2
89 21 2957 1
458 83 4082 5
242 31 2905 0
423 19 2538 5
215 122 12338 0
295 117 10964 1
269 283 22114 3
240 314 3006 0
82 254 39065 1
461 120 1357 5
91 84 10034 1
93 248 3704 4
83 306 43816 3
378 51 1730 3
278 78 13735 2
289 286 43013 5
480 189 1386 3
321 132 23746 0
43 270 1378 2
304 121 19160 3
324 45 1326 2
308 34 5437 0
471 99 7528 4
219 285 2168 5
302 73 12676 5
455 229 39825 2
37 96 17446 1
363 261 33364 1
290 21 3855 0
40 211 5110 1
214 144 13227 3
118 185 33870 3
306 211 37808 3
463 273 8249 4
123 158 28827 2
441 22 3779 2
216 213 38031 2
414 208 3896 5
1 227 39551 0
234 24 2002 2
196 215 23570 5
2 177 4204 3
409 47 7510 3
297 6 1480 4
33 19 5 4
300 253 22616 2
176 253 39 0
148 113 20393 3
212 242 40968 4
276 184 33766 5
369 47 487 1
328 23 4193 5
63 205 18683 4
409 185 11769 0
285 2 732 2
223 195 16493 2
117 222 34357 4
448 284 38453 3
148 163 29785 5
457 275 15022 1
17 287 2055 1
399 69 11899 2
331 183 33640 2
301 228 12123 2
436 75 4204 4
225 268 9741 5
450 171 31435 3
202 266 641 0
410 145 26367 1
454 123 3329 2
100 224 39259 1
316 27 2661 5
228 150 27416 5
150 141 25434 4
10 164 2668 5
239 38 103 2
236 299 2168 4
308 71 12272 2
37 246 6597 2
418 99 555 0
60 286 2356 1
9 201 3337 1
41 18 4 4
437 70 1549 3
268 313 7895 0
110 311 925 3
214 207 37248 2
165 170 29616 5
340 120 21676 1
36 239 1868 2
205 208 16313 4
53 116 13248 2
75 76 9613 0
328 93 12619 3
215 207 19894 2
356 315 6 1
77 319 43988 3
453 5 607 2
218 192 35004 0
431 269 5 4
182 186 34053 0
11 259 14365 4
83 136 15316 3
322 43 243 4
167 267 469 3
191 97 14668 4
447 183 1395 3
220 107 15385 3
119 36 5927 5
297 54 8969 4
417 250 2077 1
88 199 15989 3
275 74 12863 0
454 37 2225 4
11 68 1214 5
256 40 1516 0
413 83 130 4
454 26 1035 2
157 292 37 3
447 92 5452 0
173 241 40908 0
12 144 25938 0
434 263 1386 4
135 296 721 2
335 25 4459 4
194 75 13049 1
457 188 19954 1
260 107 16296 3
200 134 15709 4
203 232 9924 4
255 261 12541 1
22 66 4988 2
194 88 9798 0
416 308 5 3
447 132 6302 2
340 313 34635 3
282 245 11991 5
170 104 18881 4
184 223 39167 5
166 38 6257 3
341 317 41002 3
93 53 8641 1
100 275 4607 0
321 32 5442 0
386 74 12943 4
386 32 785 4
169 105 14866 4
476 68 1209 1
121 270 3352 2
390 97 15217 4
162 71 11184 1
0 43 4 0
293 69 11868 3
356 225 18279 3
24 171 3644 4
475 87 3783 5
420 101 6732 4
381 35 839 2
333 43 1112 4
429 307 2234 2
163 315 39 4
70 130 23252 2
379 266 8986 4
455 56 2605 0
354 226 12621 3
389 247 28529 0
274 301 5614 2
132 121 21752 2
215 27 2761 3
356 284 4086 1
312 246 15153 5
460 254 7693 3
357 157 28761 4
218 0 136 2
106 64 10746 1
349 105 19114 2
241 146 10807 1
42 191 34786 1
157 285 39 2
93 52 8451 0
448 268 20336 5
365 79 14055 1
382 307 41002 4
471 38 5881 2
161 47 7609 3
122 259 41690 2
399 105 4382 1
4 275 6162 1
123 159 29012 0
277 100 7410 5
294 165 30233 2
435 300 40811 2
126 313 3476 5
460 100 1045 0
20 154 462 1
141 86 15516 4
218 261 40265 4
115 152 27752 3
458 119 1356 2
290 28 4807 5
445 153 13189 0
377 48 600 2
0 71 7200 2
403 155 14147 0
285 268 13885 5
473 95 2988 2
398 135 24378 0
339 36 2753 3
414 107 1096 3
210 189 10618 4
263 36 1842 2
197 257 33 5
37 30 4080 3
131 265 1450 1
327 92 16768 2
309 35 5871 3
353 294 640 0
103 32 5321 0
217 186 5349 0
179 278 5 4
333 222 30591 1
408 282 42 4
331 59 2077 2
57 11 923 4
6 304 809 0
16 268 3005 1
266 143 22976 0
465 272 28 2
10 304 1046 0
31 258 4 5
157 89 16123 5
385 61 6018 2
219 250 41308 4
89 84 13691 0
404 185 9853 0
103 306 106 2
30 213 602 2
269 170 31145 1
0 82 6884 5
226 42 6558 1
241 19 100 0
218 280 383 3
426 313 4 0
322 278 14467 1
14 85 15032 2
367 284 9353 5
30 205 360 2
1 216 24190 3
109 8 1742 5
266 112 10344 4
153 223 11455 3
326 0 227 3
246 279 10886 2
315 71 6745 0
431 255 1912 1
207 233 40194 5
479 109 1390 1
313 154 28231 1
235 260 41773 3
45 139 10807 5
189 34 1322 2
140 232 15921 0
321 176 32372 1
438 183 3358 2
9 91 12741 0
121 85 10963 1
376 254 9624 0
75 304 1445 1
342 138 24939 4
285 38 4159 0
475 19 3496 1
180 32 966 1
397 176 10396 1
126 234 20989 3
477 126 16819 3
155 139 21243 1
454 97 5283 4
291 32 5422 1
340 83 14975 3
383 276 7898 3
232 28 3412 5
213 41 540 0
325 86 15605 4
330 148 27040 5
339 5 769 5
147 253 11907 3
344 240 21459 0
266 318 2169 1
145 274 441 5
400 204 24532 0
244 203 36693 3
462 154 3621 0
17 149 11 5
10 54 4230 3
247 32 5221 3
293 210 37672 1
88 269 3497 1
419 53 3776 1
141 237 17065 2
149 197 15076 4
324 285 42953 0
27 78 13628 2
110 303 424 2
51 186 26201 1
22 115 853 5
163 230 33830 3
296 273 15906 1
21 289 4225 0
353 161 29515 2
433 227 446 0
319 244 9624 4
422 87 31 0
444 164 19287 3
367 80 14325 2
163 212 7924 3
282 27 4667 4
287 193 26321 2
350 17 1288 0
129 66 6366 0
50 147 26628 3
119 228 39663 0
70 108 14221 1
365 296 38 1
252 291 32659 4
205 17 690 3
151 136 24465 4
125 20 3657 5
375 103 18807 3
139 100 18200 1
198 218 38647 1
117 312 2168 1
127 76 12152 2
399 143 25917 1
368 16 2019 1
108 204 36788 0
144 57 9426 4
50 62 44 1
419 267 7707 3
422 53 3916 4
11 297 5473 4
115 240 40819 3
130 189 17896 4
27 190 3891 5
376 1 272 0
425 218 19428 2
243 77 10077 2
115 125 22393 3
302 35 5867 0
453 64 5467 2
167 133 23890 2
339 21 3881 2
121 40 6493 0
470 52 344 4
101 215 38234 0
44 23 4080 0
70 115 13880 1
0 248 17817 1
293 36 6004 2
248 136 22463 0
220 143 15157 2
149 228 39667 4
124 23 4103 0
341 77 3742 4
456 309 13410 4
42 47 7528 5
247 261 41849 1
203 175 20784 2
103 213 37982 1
184 91 13898 2
216 125 22448 4
210 86 10234 4
465 86 10109 3
33 222 4047 2
306 312 7895 2
17 279 953 4
246 213 15369 2
318 64 8597 4
322 13 2626 0
141 51 8159 3
28 171 31259 3
272 105 18114 5
464 147 3747 5
235 145 11392 1
16 19 1 2
337 319 34635 3
61 203 36644 2
128 77 12569 0
384 148 17584 3
45 223 604 1
0 6 3 3
327 10 1663 4
