600 321 481
63 227 10242 5
239 159 3143 0
58 293 15330 1
296 70 113 5
171 187 6217 2
255 50 776 2
104 353 15031 3
160 247 8671 3
23 269 293 2
108 458 12257 2
240 257 12993 1
315 237 1365 4
157 456 17887 5
29 286 293 2
247 86 776 4
303 17 241 5
214 166 2163 4
22 309 293 5
200 398 19087 5
119 101 1046 3
145 36 1029 0
31 53 2911 3
233 216 6707 5
267 125 3722 1
161 248 12305 0
286 399 6276 2
211 428 20000 1
246 79 3215 0
8 396 8526 1
156 421 20000 2
254 192 4654 3
104 59 1103 4
46 73 238 3
65 148 4070 0
301 408 8748 0
175 326 7492 2
284 243 175 5
48 242 10406 0
161 136 1030 3
236 211 8723 3
127 452 13203 1
254 129 1992 0
18 321 285 5
122 468 9531 2
4 284 2278 1
188 131 1334 2
10 85 3348 1
72 46 2679 1
82 271 13992 3
309 69 114 5
278 438 20000 1
255 280 9203 5
108 355 11581 0
262 60 3169 2
168 67 1468 3
17 409 1624 4
283 434 19661 0
105 430 20000 0
56 211 9189 4
111 52 1105 3
244 200 8177 2
121 363 8078 2
240 28 955 1
90 420 11662 0
246 15 632 5
318 91 120 1
27 470 20000 5
142 406 10722 0
223 267 10105 3
21 2 10 2
62 473 20000 1
243 171 965 1
28 229 242 0
5 118 2016 5
12 114 170 3
315 413 3089 4
309 255 633 1
5 130 2277 4
282 331 5935 0
75 267 13729 4
140 143 1421 3
224 150 1186 5
8 255 2016 1
20 413 111 4
24 120 238 2
295 370 3179 2
280 460 20000 4
96 137 3138 0
230 68 872 2
2 247 3346 5
7 50 2606 5
234 274 14273 0
224 150 1186 2
96 9 742 2
218 298 15562 0
131 375 15062 2
113 360 9426 1
157 191 7020 1
62 250 12441 0
68 25 1627 0
31 99 372 5
17 314 3444 4
196 131 2163 1
291 287 116 3
173 141 1421 1
203 282 1614 2
246 235 10784 1
44 55 2331 0
300 62 112 0
91 219 9610 4
76 243 11899 4
261 203 3082 0
288 342 8748 2
74 343 111 1
195 317 16314 0
122 343 12014 1
215 316 16271 3
13 55 2984 2
305 298 633 5
142 67 796 5
219 351 14263 1
300 309 1550 2
308 462 20000 4
241 151 2858 1
263 160 1137 4
145 13 686 2
175 460 13271 1
290 178 114 3
18 405 18238 1
250 429 20000 0
282 412 18946 5
248 197 5123 0
233 73 1125 5
226 240 10662 4
278 91 3156 1
84 264 13507 2
318 321 4676 5
265 344 17169 2
215 68 1043 0
215 91 2373 3
58 91 3745 1
315 249 1365 1
20 412 27 0
250 168 3469 5
14 204 8522 3
192 38 1426 0
60 312 105 4
114 457 9483 1
102 237 10979 2
72 194 6961 0
216 240 8179 2
318 340 5688 4
235 179 2209 2
43 222 9768 4
26 261 293 2
293 35 113 4
307 285 1550 2
42 0 16 1
155 84 1247 3
106 146 1947 4
79 36 2160 0
21 287 293 0
33 59 3125 5
252 160 3244 0
24 273 372 1
1 137 3345 5
148 194 7619 2
151 207 8874 2
102 161 2125 0
268 243 11950 3
9 37 2179 3
165 178 5772 3
139 362 1955 4
267 336 17100 3
178 185 6579 5
6 14 1065 0
71 238 8656 1
283 136 115 4
146 313 6805 2
256 303 8961 4
73 380 30 4
37 67 305 4
85 278 5266 5
220 6 80 0
152 221 8053 3
235 465 20000 5
293 437 19463 2
228 240 10641 5
70 183 6308 1
308 389 8748 2
76 102 1757 1
193 19 1340 4
201 427 5225 3
141 195 7015 1
201 159 875 4
119 365 16673 3
253 324 1361 5
99 131 2085 0
113 171 4980 1
4 451 20000 5
170 215 7148 5
26 316 372 5
228 111 1473 2
3 2 2 4
273 294 990 4
10 23 1625 2
259 103 2265 0
320 144 122 2
278 240 19 4
155 36 1252 2
188 58 1266 3
305 260 117 2
320 232 3999 1
302 113 113 2
237 137 3365 0
252 408 18079 5
274 172 116 1
166 170 1180 2
274 69 3390 4
217 9 83 2
209 346 2485 5
67 365 115 0
301 398 5587 0
21 114 372 5
151 310 8316 5
28 91 238 0
6 234 2277 0
41 19 535 3
13 295 3349 4
311 397 9842 1
186 395 8912 3
133 429 12300 2
291 429 19597 4
95 384 18572 0
299 288 633 4
175 352 10513 5
292 118 113 2
139 168 4819 4
34 348 7859 5
156 384 6713 5
207 264 13355 1
287 308 17 1
252 141 2480 5
205 255 12826 4
113 423 16505 1
207 276 11994 5
314 102 120 3
107 373 14093 3
24 336 293 5
255 18 293 0
163 333 15593 3
200 290 14890 0
119 36 1129 4
277 372 17284 1
216 89 2373 5
194 213 7516 2
209 170 1422 3
121 322 16264 1
4 324 2277 1
157 312 16061 0
34 200 8089 0
166 467 20000 3
38 107 372 4
210 157 2163 0
65 373 735 3
271 76 1605 1
49 469 20000 4
45 437 20000 3
130 385 10965 1
60 229 9553 1
253 88 2209 4
277 402 19109 0
279 321 6062 4
316 110 3180 4
280 320 5698 1
38 92 238 0
147 137 1567 0
290 473 20000 0
45 102 238 1
124 479 20000 0
205 177 4881 0
269 467 20000 2
279 105 1625 2
311 274 3180 2
219 388 10368 1
21 297 3444 1
270 94 3424 1
175 360 5800 0
314 145 1550 0
229 398 19095 1
78 102 3911 5
205 14 1193 2
213 443 9531 4
235 346 16597 3
228 109 2373 1
317 79 984 3
123 116 964 5
70 373 29 4
74 472 20000 2
4 155 1624 1
126 41 1800 5
232 151 1043 0
175 264 12400 1
75 267 13729 3
30 47 2612 3
94 479 20000 1
225 150 872 0
110 348 2092 4
239 277 14473 3
169 431 12532 4
112 257 12451 4
201 61 3193 5
226 182 3243 1
119 13 1096 1
286 219 114 4
26 319 372 3
87 120 3435 4
201 109 1476 5
92 103 963 1
202 277 1406 1
136 308 15893 4
121 371 18198 3
26 472 20000 2
39 180 5940 1
217 114 1476 1
135 313 16109 2
310 453 20000 0
35 356 17461 3
46 190 1761 5
76 21 394 1
204 357 12657 4
62 470 20000 3
284 407 6062 2
205 127 1334 5
160 187 6788 1
241 158 2266 5
25 217 2224 2
201 320 16268 2
221 149 2373 2
60 261 13245 5
316 448 19783 0
316 420 18984 3
118 478 20000 2
38 206 8750 2
215 319 7244 2
310 125 127 5
47 363 6616 5
63 76 3490 3
245 248 7924 5
64 421 20000 2
189 345 6039 2
227 28 1185 4
113 96 860 3
123 342 12014 4
249 165 2313 1
27 208 8746 5
226 453 11231 0
163 169 965 1
276 379 17323 4
3 100 2278 4
51 146 4220 0
10 286 3347 1
3 153 1623 5
11 467 17902 4
308 66 116 5
64 255 7095 4
227 320 7020 3
59 221 9726 1
166 423 6042 1
37 196 7672 4
126 91 692 3
77 467 20000 1
93 101 1947 4
85 302 5196 2
