600 704 704
96 74 1 5
517 616 108 5
174 569 108 0
296 121 1 2
465 85 1 2
389 315 1 3
452 129 1 5
457 576 108 4
412 32 1 0
383 632 108 0
435 311 19 3
592 281 1 4
286 128 1 3
502 105 1 2
473 544 108 0
646 193 1 5
660 245 1 0
336 117 1 3
107 574 108 0
17 698 108 1
517 69 1 1
508 376 1 0
92 149 1 5
4 428 1 1
362 673 119 1
379 21 1 3
314 313 19 4
529 678 108 4
172 92 1 5
45 682 108 0
182 378 1 3
253 210 1 5
283 656 108 3
312 253 19 2
162 242 1 4
326 626 108 1
517 82 1 3
41 378 1 5
359 353 1 3
386 391 1 2
78 161 1 2
81 298 1 4
368 627 108 3
370 238 1 4
647 177 1 2
309 83 1 1
629 130 1 2
281 338 1 0
74 231 1 1
479 481 1 3
266 178 1 1
154 138 1 0
15 190 1 2
391 230 1 0
354 40 1 5
605 496 1 3
689 482 1 2
37 23 1 0
516 480 1 0
163 32 1 0
247 99 1 5
414 262 1 4
576 45 1 0
74 523 108 1
270 71 1 1
507 268 1 1
184 257 1 0
118 448 1 5
583 403 1 3
52 237 1 1
357 588 108 5
207 258 1 3
322 189 1 3
571 458 1 2
291 291 19 0
284 481 1 5
363 328 1 2
266 179 1 1
10 254 1 5
128 324 75 0
590 46 1 3
125 672 108 3
673 423 1 2
362 535 108 2
99 414 1 1
462 251 1 5
16 591 108 2
401 541 108 5
649 435 1 0
689 219 1 1
246 592 108 3
83 139 1 4
612 54 1 5
680 579 108 0
58 245 1 4
8 328 1 4
413 17 1 5
624 445 1 3
229 438 1 2
349 68 1 4
701 339 1 2
649 441 1 0
68 284 1 4
544 216 1 5
375 183 1 2
106 277 19 4
68 652 108 0
42 160 1 3
456 595 108 3
663 681 108 0
339 485 108 5
461 193 1 5
31 637 108 5
645 10 1 5
147 194 1 4
43 4 1 0
475 501 1 5
608 140 1 5
205 48 1 3
320 303 1 3
159 379 1 2
701 635 108 1
449 59 1 1
263 245 1 3
46 615 108 5
172 225 1 2
113 612 108 3
247 421 1 4
432 346 1 1
600 539 108 2
643 403 1 3
445 248 1 1
676 672 108 4
269 538 108 3
19 460 1 5
268 288 1 2
616 57 1 3
90 48 1 5
107 487 1 5
188 541 108 2
50 643 108 2
188 329 1 2
376 288 44 1
417 621 108 5
296 259 1 4
683 614 108 0
304 284 1 1
251 17 1 3
614 657 108 0
499 209 1 2
99 614 108 2
257 137 1 4
585 590 108 5
55 664 108 0
59 334 1 5
43 359 1 4
157 271 1 5
279 235 1 1
58 201 1 1
599 648 108 0
591 70 1 3
593 406 1 5
508 244 39 5
363 516 108 3
343 437 1 3
306 497 1 2
148 577 108 4
612 645 108 3
536 587 108 0
420 295 1 1
483 90 1 2
433 280 19 5
318 678 190 0
427 23 1 2
481 10 1 2
15 243 1 0
169 523 108 3
609 262 1 1
55 95 1 2
491 332 1 0
682 411 1 4
297 338 1 3
664 631 108 0
324 364 1 0
60 41 1 4
204 643 108 0
281 643 108 3
644 395 1 1
299 411 1 3
8 130 1 4
669 616 108 0
214 507 108 3
70 399 1 2
613 664 108 2
554 525 108 0
703 286 1 5
92 32 1 1
112 66 1 0
353 44 1 4
475 586 108 1
24 78 1 3
185 37 1 4
178 671 108 3
12 110 1 0
587 200 1 5
274 65 1 0
68 610 108 1
339 574 108 5
651 647 108 3
181 515 108 4
248 579 108 4
370 406 1 1
63 604 108 2
655 682 108 4
298 501 1 1
650 131 1 0
79 185 1 0
44 404 1 5
155 638 108 2
