600 1433 1534
102 1459 1 4
1219 452 1 2
122 757 1 4
238 919 100 0
618 570 50 4
176 1457 1 5
713 109 100 4
166 636 1 0
875 956 100 0
263 377 1 4
960 503 100 1
642 11 1 2
370 1375 2 5
612 928 72 3
393 1452 1 1
774 188 1 5
1021 1150 42 0
533 258 10 4
511 74 1 0
757 630 4 2
1083 1005 100 2
97 1463 1 3
704 1286 60 2
415 131 1 2
1016 682 50 4
1333 1190 1 4
1229 85 1 4
347 1393 1 1
1256 1214 1 3
748 882 6 3
1389 767 1 4
672 773 11 2
779 934 100 5
587 814 81 2
198 533 1 1
1015 1289 8 1
981 392 43 5
588 1325 100 0
867 1267 45 3
1293 336 1 4
1068 657 100 4
1224 119 1 2
87 597 1 1
643 133 100 4
1386 917 1 4
467 124 1 4
1359 507 1 4
121 482 1 1
537 485 82 3
561 868 82 2
925 1247 67 1
1369 1198 1 4
924 1484 1 3
455 856 68 3
1345 154 1 0
401 1102 100 1
359 946 100 4
456 70 1 3
453 1478 1 5
347 131 1 1
142 1508 1 2
484 399 59 3
111 1409 1 2
495 1458 1 1
691 948 100 5
855 582 61 3
1034 39 1 0
588 72 1 0
1322 760 1 0
1363 151 1 4
1000 71 1 1
779 1514 1 5
629 466 86 4
974 1183 42 3
808 1039 83 0
474 1051 100 1
1384 1295 1 2
465 1377 100 3
982 1206 13 3
1208 635 100 5
1185 1370 1 2
385 1195 100 2
1207 992 100 4
1186 1162 100 2
325 682 51 5
1290 167 1 2
408 392 19 5
1282 1315 1 2
965 970 82 3
1304 355 1 1
38 232 1 1
114 1305 1 2
987 259 8 5
779 1177 77 2
640 103 100 0
1339 361 1 1
507 273 11 2
413 136 1 2
1275 1325 1 4
276 346 1 0
367 821 72 5
370 1253 100 2
306 1238 100 5
454 1296 100 2
1285 276 1 5
522 969 96 0
487 747 69 5
1328 552 1 3
112 1317 1 4
171 1327 1 3
1099 1526 1 3
134 298 1 2
1361 851 1 1
443 832 65 4
1423 380 1 3
1101 1410 1 1
351 543 34 3
1403 146 1 1
91 516 1 0
222 1038 44 2
1016 1080 74 0
373 1113 59 3
449 1310 25 4
1193 234 1 4
40 501 1 2
1358 1315 1 4
1050 495 100 4
1284 675 1 2
1155 592 23 0
340 488 9 5
457 1388 100 4
109 1523 1 0
883 1199 74 5
1110 1141 100 2
911 399 44 1
1059 257 100 5
594 550 79 2
39 6 1 1
458 292 12 3
940 1441 1 0
1090 86 1 0
1012 231 100 0
732 59 1 1
1074 977 88 0
164 795 100 3
1381 1188 1 3
1257 1025 100 2
1213 257 1 2
127 1089 1 1
51 1398 1 0
249 591 100 4
802 786 45 5
493 602 52 3
523 1108 94 3
429 672 91 1
1035 1197 45 5
