10000 481 321
299 201 4167 5
250 220 5000 5
295 231 5000 2
286 188 5000 5
173 129 5000 3
356 290 5000 1
158 21 5000 1
226 285 3640 4
271 219 1303 5
100 43 5000 5
442 288 5000 3
313 177 5000 4
57 242 5000 0
372 246 5000 3
115 222 5000 2
226 104 5000 3
457 112 5000 2
386 123 5000 0
189 33 5000 5
87 12 1447 0
251 265 5000 2
385 119 5000 5
228 239 5000 1
190 11 3809 1
38 210 3607 0
65 246 5000 5
393 228 5000 5
250 103 5000 5
299 107 5000 5
320 222 5000 1
229 96 5000 1
280 22 3491 4
274 216 2050 5
53 93 904 1
318 279 5000 5
163 235 5000 3
9 151 1279 1
319 36 4066 4
123 155 5000 4
206 287 5000 4
329 18 217 1
299 70 5000 3
24 174 5000 3
128 117 5000 2
168 189 5000 0
420 257 5000 2
302 157 5000 2
446 105 2437 5
451 165 1825 4
431 238 5000 2
87 312 3057 2
126 262 5000 5
348 129 5000 1
182 290 3881 4
335 210 5000 2
171 196 5000 5
342 161 5000 4
16 13 2575 2
303 25 4037 3
67 113 889 2
175 128 5000 2
57 87 4401 0
408 0 385 5
251 316 5000 4
185 215 5000 3
385 29 5000 3
323 140 5000 1
176 93 5000 2
415 33 5000 5
177 238 4390 3
454 93 2640 5
206 276 5000 5
329 109 5000 0
363 188 2728 4
217 131 5000 5
371 248 5000 1
128 138 5000 5
466 56 3313 1
5 194 5000 1
314 108 5000 4
176 17 5000 1
263 142 4782 2
334 314 5000 4
373 116 5000 4
163 223 5000 2
96 157 5000 3
430 50 4205 5
378 216 749 4
221 51 5000 2
82 146 5000 4
394 126 5000 1
284 305 2877 0
272 204 2962 4
467 192 3434 2
228 302 5000 4
116 229 5000 3
382 69 5000 3
51 302 45 3
69 53 5000 1
326 147 5000 1
237 167 5000 5
222 282 5000 1
131 250 5000 2
223 70 5000 5
205 88 5000 2
283 103 5000 5
187 305 5000 1
246 137 5000 5
373 195 4294 5
463 126 1194 3
249 225 5000 2
