600 1920 1080
415 942 139733 0
1400 359 104355 0
1362 241 52056 1
1612 9 481 4
470 631 71808 2
137 158 16065 4
951 180 2465 1
1838 293 75184 4
1062 121 1724 3
1047 814 317020 3
1681 1077 297579 3
1308 944 346891 3
1734 609 14868 4
258 105 13599 3
846 477 115467 2
1371 997 349772 4
1302 243 51479 3
704 551 121869 0
1705 806 282108 1
526 409 65336 3
1428 467 159458 0
388 50 908 0
1404 308 81298 1
1403 911 311988 0
502 1007 112630 5
1207 705 235149 5
521 898 83568 4
959 116 1740 3
1666 701 275792 0
1683 819 308910 1
1043 39 316 2
419 912 111625 1
407 771 141264 0
53 46 2121 5
1191 609 247713 5
1103 1056 362410 5
1469 960 346131 3
529 412 56172 5
1475 307 81329 4
1597 602 245057 1
845 349 56171 3
904 704 276741 4
1108 253 56970 1
115 677 169198 4
1024 432 111184 0
478 845 161864 4
488 485 55397 1
720 773 255758 1
1152 338 94955 0
1157 14 2601 3
1211 352 100876 4
1084 690 285032 5
764 913 333968 3
1064 318 86368 0
747 405 64922 1
1856 248 25591 0
706 227 2354 2
1252 708 291735 5
1648 184 24957 3
798 904 331542 3
1238 890 322892 3
1257 962 349613 5
1901 429 137786 1
1407 800 307656 5
757 162 2782 3
123 159 16065 5
1184 938 345353 0
1062 791 314554 3
686 725 110125 3
968 65 1449 1
497 275 30163 1
1398 515 187521 2
314 644 261079 3
1037 225 30214 4
1244 603 243351 4
1909 711 162748 2
1532 166 26830 4
88 654 266841 2
764 90 116 0
446 373 54131 5
7 331 91852 4
1470 297 76867 0
1728 104 8018 1
1721 420 133663 1
1859 799 270290 5
654 492 165103 3
1857 932 344583 5
1418 231 47591 2
933 249 54972 1
262 379 56171 0
324 242 40365 0
525 580 119022 0
128 623 253200 1
501 1015 107711 1
1909 529 196066 5
109 1009 91809 3
1462 347 98504 2
946 555 39719 3
165 242 30162 5
657 915 116916 2
1853 319 78779 5
1212 549 208193 2
432 928 165772 5
1164 54 1446 2
655 101 6356 5
1425 901 326967 5
409 357 64922 5
1610 428 83832 1
1727 787 309834 2
212 120 14761 2
1636 91 11441 3
1669 351 17644 0
1781 887 306965 4
285 952 57099 3
1433 1070 365646 0
554 120 11039 2
1046 563 113012 4
1523 79 9554 4
685 641 62683 2
1161 264 50999 0
627 1021 309954 5
1240 293 74890 4
829 861 132344 1
539 114 8325 2
74 656 224230 3
380 657 268517 4
201 342 54965 1
1564 450 148243 1
1262 112 4233 2
346 2 60 3
